,Destino,Aeropuerto,Precio más barato,Fechas
0,BERLIN-BRANDERBURG WILLY BRANDT ,BER,29,2023-01-30
1,ROMA /FIUMICINO ,FCO,21,2023-01-15
2,PARIS /BEAUVAIS-TILLE ,BVA,17,2023-01-17
3,PARIS /CHARLES DE GAULLE ,CDG,25,2023-01-30
4,PARIS /ORLY ,ORY,20,2023-01-11
5,BUCAREST ,OTP,87,2023-01-14
6,VIENA ,VIE,55,2023-01-04
7,VARSOVIA ,WAW,27,2023-01-16
8,VARSOVIA/MODLIN ,WMI,27,2023-01-16
9,BUDAPEST ,BUD,31,2023-01-22
10,PRAGA ,PRG,38,2023-01-15
11,SOFIA ,SOF,29,2023-01-28
12,BRUSELAS ,BRU,18,2023-01-26
13,BRUSELAS /CHARLEROI ,CRL,23,2023-01-31
14,ESTOCOLMO /ARLANDA ,ARN,69,2023-01-25
15,ATENAS ,ATH,73,2023-01-13
16,HELSINKI ,HEL,43,2023-01-25
17,RIGA ,RIX,116,2023-01-19
18,COPENHAGUE ,CPH,33,2023-01-22
19,DUBLIN ,DUB,19,2023-01-17
20,LISBOA ,LIS,12,2023-01-16
